Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,0,0,0,0,2900,0,71,360,1,0,1
1,1,2,0,0,3900,0,90,360,1,1,1
1,0,0,0,0,2435,0,75,360,1,2,0
1,0,0,0,0,6011,2741,230,317,1,1,0
0,0,0,0,0,2995,0,60,360,1,2,1
1,1,0,0,0,3816,754,160,360,1,2,1
1,0,0,0,0,3605,4304,135,194,0,0,0
0,0,0,0,0,3423,0,136,329,1,0,0
1,1,0,1,0,2530,1966,134,221,0,1,0
0,0,0,0,0,3762,1666,135,360,1,0,1
0,0,2,0,0,3427,0,138,360,1,2,0
1,0,0,0,0,2965,5701,155,60,1,2,1
0,1,0,1,1,7142,0,138,360,1,0,1
1,1,0,0,0,19779,0,264,360,1,0,0
1,1,1,0,0,14583,0,185,180,1,0,1
0,1,0,0,0,2423,505,130,360,1,1,1
1,1,2,0,0,3717,0,120,360,1,1,1
1,0,0,0,1,7085,0,84,360,1,1,1
0,1,0,0,0,344,1812,140,360,1,0,0
1,0,3,0,0,12500,3000,320,360,1,0,0
1,0,0,0,1,6400,0,200,360,1,0,1
1,0,0,0,0,3660,4429,163,360,0,0,0
1,1,0,1,0,2167,2400,115,360,1,2,1
1,1,0,0,0,7578,1010,175,360,1,1,1
1,1,2,0,0,2701,1589,163,360,1,0,0
1,0,0,1,0,4885,0,48,360,1,0,1
1,0,0,1,0,3620,0,25,120,1,1,1
1,0,0,0,0,3673,4477,165,360,0,1,0
1,1,0,0,0,3033,1459,95,360,1,2,1
1,1,0,1,0,3572,4114,152,360,0,0,0
1,1,1,0,0,3691,3843,185,360,0,1,0
1,1,2,1,0,3333,2000,99,360,1,1,1
1,1,0,0,1,2479,3013,188,360,1,2,1
1,1,1,0,0,3155,1779,140,360,1,1,1
1,1,2,0,0,3153,1560,134,360,1,2,1
1,1,2,0,0,3800,3600,216,360,0,2,0
0,0,1,0,0,1985,0,96,360,0,2,0
1,1,1,0,0,1538,1425,30,360,1,2,1
1,0,0,0,0,9716,3993,226,261,0,1,0
1,0,0,0,0,14715,1883,297,360,0,0,0
1,1,0,0,0,2383,3334,172,360,1,1,1
1,0,0,0,0,5849,0,120,360,1,2,1
1,0,0,0,0,1921,0,81,360,1,0,0
0,0,0,0,0,2345,0,44,360,1,1,0
0,0,0,0,0,2378,0,9,360,1,2,0
1,1,3,0,0,81000,0,360,360,0,0,0
0,1,2,0,0,14866,0,70,360,1,2,1
0,0,0,0,0,1811,1666,54,360,1,2,1
1,0,0,1,0,3833,0,110,360,1,0,1
1,1,2,1,0,2974,1693,81,218,0,1,0
0,0,3,1,0,1830,0,120,360,0,2,0
1,1,0,0,0,3775,0,110,360,1,1,1
1,0,0,0,0,1916,5063,67,360,1,0,0
1,1,1,1,0,2492,2375,120,360,1,0,1
1,1,0,0,0,2483,2466,90,180,0,0,1
1,0,2,0,0,3571,0,98,360,0,0,0
1,0,0,0,0,2987,0,88,360,0,1,0
1,0,0,0,0,2935,0,98,360,1,1,1
1,1,0,0,0,3887,2669,162,360,1,1,1
1,1,2,1,0,3357,2859,144,360,1,2,1
1,1,2,1,0,3601,1590,120,360,1,0,1
1,1,1,1,0,2510,1983,140,180,1,2,0
1,0,0,0,0,6229,0,129,360,0,0,0
0,0,0,0,0,7350,0,131,360,1,0,0
1,0,0,0,0,4895,0,102,360,1,1,1
1,1,0,0,0,3593,4266,132,180,0,0,0
0,1,1,0,0,1416,1833,161,360,0,2,0
1,0,0,1,0,2346,1600,132,360,1,1,1
0,0,0,0,0,3692,0,93,360,1,0,1
1,1,3,0,0,6406,0,150,360,1,1,0
1,1,0,0,0,3817,1728,149,360,0,0,0
1,0,0,1,0,3902,1666,109,360,1,0,1
1,1,0,0,0,6250,0,128,360,1,1,1
0,0,1,0,0,2600,0,160,360,1,2,0
1,1,1,0,1,2178,0,66,300,0,0,0
1,1,1,0,0,6000,0,160,360,1,0,1
1,0,0,0,0,2066,0,99,337,0,1,0
1,0,0,0,0,10039,0,155,360,1,0,0
1,1,1,0,0,2491,2054,104,360,1,1,1
1,1,2,0,0,3283,2035,148,360,1,2,1
1,0,2,0,0,5532,4648,162,360,1,0,1
1,0,2,0,0,6447,0,146,360,1,1,0
1,1,0,0,0,6256,0,160,360,1,2,1
0,0,0,0,0,2439,1906,116,295,0,2,0
1,0,0,1,0,2333,1451,102,480,0,2,0
1,1,1,0,0,3750,0,116,360,1,1,1
0,0,2,0,0,5179,0,96,360,0,1,0
1,1,0,1,0,2600,1911,116,360,0,1,0
1,1,3,1,0,3850,983,100,360,1,1,1
0,0,1,1,0,1574,0,64,360,0,2,0
1,1,0,1,0,3010,3136,120,360,0,2,0
0,0,0,0,0,4587,0,83,360,1,0,0
1,0,0,0,0,1853,2840,114,360,1,0,0
1,1,2,0,0,5391,0,130,360,1,2,1
1,0,0,1,0,1442,0,35,360,1,2,0
0,0,0,0,0,3436,0,127,36,1,1,0
0,0,0,0,0,10000,0,214,360,1,1,0
0,0,1,0,0,2723,0,94,360,0,1,0
1,0,0,1,0,2783,92,65,310,1,0,0
1,1,0,1,0,2875,1750,105,360,1,1,1
0,0,0,0,1,15759,0,55,360,1,1,1
1,1,2,0,0,5860,9721,372,360,0,1,0
1,1,1,0,0,5250,688,160,360,1,0,1
1,0,0,0,0,12000,0,164,360,1,1,0
1,0,0,0,0,2980,2083,120,360,1,0,1
1,1,2,0,0,8799,0,258,360,0,2,0
1,1,1,0,0,3875,0,67,360,1,2,0
1,1,0,0,0,2698,2034,122,360,1,1,1
1,1,0,0,0,7901,1833,180,360,1,0,1
1,1,0,0,0,150,1800,135,360,1,0,0
0,0,1,1,0,4606,0,81,360,1,0,0
1,0,0,0,0,3500,0,81,300,1,1,1
1,1,1,1,0,5285,1430,161,360,0,1,1
1,1,1,0,0,2750,1842,115,360,1,1,1
1,1,0,0,0,2499,2458,160,360,1,1,1
1,1,0,1,0,7660,0,104,360,0,2,0
1,1,3,0,0,5703,0,128,360,1,2,1
0,0,0,0,0,1500,1800,103,360,0,1,0
1,1,1,1,0,3399,1640,111,180,1,2,1
1,1,2,0,0,3437,2508,129,360,0,0,0
0,1,1,0,0,932,1851,155,360,1,1,0
1,1,0,0,0,5746,0,255,360,1,2,0
1,1,2,0,1,7948,7166,480,360,1,0,1
1,0,0,0,0,3370,0,89,103,1,1,0
1,1,0,0,0,3539,1376,55,360,1,0,0
1,1,1,0,0,2214,1398,85,360,1,2,1
1,1,0,0,0,3250,0,170,360,1,0,0
1,0,1,0,0,3062,1987,111,180,0,2,0
1,1,1,0,0,6065,2004,250,360,1,1,1
1,0,0,0,1,4724,0,129,360,1,1,0
0,0,1,0,0,3652,0,95,360,1,1,1
1,1,3,0,0,6417,0,157,180,1,0,1
0,0,1,0,0,5152,0,97,360,0,1,0
1,1,2,0,1,5417,4196,267,360,1,2,1
1,1,1,0,0,8080,2250,180,360,1,2,1
0,0,0,0,0,2682,0,104,360,0,2,0
1,0,0,0,0,1943,0,92,360,1,1,0
1,1,2,1,0,6356,1064,187,372,1,0,0
1,1,0,1,0,4887,0,133,360,1,0,0
1,1,3,0,0,3029,0,99,360,1,2,1
0,0,0,0,0,3179,0,71,360,0,2,0
0,0,0,0,0,5424,0,139,469,0,1,0
1,1,0,1,0,2583,2358,120,360,1,2,1
1,1,0,0,0,6133,3906,324,360,1,2,1
0,1,1,0,0,3326,913,105,84,1,1,1
1,1,2,1,0,1993,1625,113,180,1,1,1
1,1,3,1,0,4893,0,120,360,0,1,0
1,1,3,0,0,2666,2083,95,360,1,0,1
1,1,2,0,0,5780,0,192,360,1,2,1
0,0,0,0,0,3813,0,116,180,1,2,1
1,1,0,0,0,4625,2857,111,12,1,2,1
1,0,1,1,1,4053,2426,158,360,0,2,0
0,0,2,0,0,3750,2083,120,360,1,1,1
1,1,1,0,0,2903,1822,124,389,0,1,0
1,0,0,0,0,4917,0,130,360,0,0,1
0,0,0,0,0,4166,0,116,360,0,1,0
1,1,0,0,0,3708,2569,173,360,1,2,0
1,1,0,0,0,20667,0,120,360,1,0,0
1,1,0,0,0,5821,0,144,360,1,2,1
0,0,0,1,0,1907,2365,120,360,1,2,1
0,0,0,0,0,5417,0,143,480,0,2,0
0,0,2,0,0,4046,0,118,236,0,1,0
1,1,0,0,0,16692,0,110,360,1,1,1
0,0,1,1,0,5191,0,132,360,1,1,1
1,1,2,0,0,5000,0,72,360,0,1,0
1,1,1,0,0,2251,0,86,360,0,0,0
0,0,0,0,0,2393,0,52,375,1,0,0
1,1,2,0,0,5819,5000,120,360,1,0,1
1,1,0,0,0,6122,6158,212,360,0,1,0
0,0,0,0,0,2532,1766,100,320,0,1,0
0,0,1,0,0,13262,0,40,360,1,2,1
1,0,0,1,0,2550,2042,126,360,1,0,1
1,1,0,0,0,5727,2181,208,360,1,0,0
1,0,1,0,0,2975,1934,120,262,0,1,0
0,0,1,0,0,4702,0,81,360,1,0,0
1,0,0,0,0,2366,2531,136,360,1,1,1
1,1,2,0,1,17500,0,400,360,1,0,1
1,0,0,0,0,3418,0,127,360,1,1,0
1,0,2,0,0,3588,0,110,360,0,0,0
1,1,3,1,0,3992,0,120,180,1,2,0
1,1,2,0,0,4566,0,100,360,1,2,0
1,1,1,0,0,3315,0,96,360,1,1,1
0,1,0,0,0,4583,0,91,360,1,0,0
1,0,2,0,0,4354,0,136,360,1,0,1
0,0,0,1,0,4350,0,154,360,1,0,1
0,0,0,0,0,2192,0,73,360,0,1,0
1,0,3,0,1,9357,0,292,360,1,1,1
1,1,0,0,0,9328,0,188,180,1,0,1
1,0,2,0,0,3535,0,84,220,1,0,0
1,1,1,0,0,5468,1032,26,360,1,1,1
1,1,0,0,0,3927,800,112,360,1,1,1
1,0,0,1,0,3358,0,80,36,1,1,0
1,0,0,0,0,3055,0,82,360,0,1,0
1,1,1,0,1,10513,3850,160,180,0,2,0
0,0,0,0,0,5014,2379,162,437,1,0,0
1,1,3,0,0,3165,2502,145,360,0,0,0
1,0,0,0,0,4133,0,122,360,1,1,1
0,1,0,0,0,2330,4486,100,360,1,1,1
1,0,0,0,0,3583,0,96,360,1,2,0
1,0,0,0,0,3577,0,80,360,0,1,0
1,0,0,0,0,6277,0,118,360,0,0,0
1,1,1,0,0,10750,0,312,360,1,2,1
1,1,0,0,1,674,5296,168,360,1,0,1
1,1,2,0,0,4865,5624,208,360,1,1,1
1,0,0,0,0,6252,4405,197,336,0,0,0
1,0,0,1,0,6045,0,115,360,0,0,0
0,1,0,0,0,2141,3219,174,360,0,1,0
1,0,0,0,0,1836,33837,90,360,1,2,0
1,0,0,0,0,3676,4301,172,360,1,0,1
1,1,2,1,0,6142,1583,187,472,1,0,0
1,1,2,0,0,4006,1526,168,360,1,2,1
1,1,0,1,0,6082,0,205,360,0,0,0
1,1,1,0,0,5649,0,44,360,1,2,1
1,1,2,0,0,2045,1619,101,360,1,0,1
0,0,0,0,0,2507,0,56,360,1,0,1
1,1,0,0,0,4817,923,120,180,1,2,1
1,0,0,0,0,5924,4531,240,360,0,0,0
1,1,0,0,0,20610,0,129,360,1,0,0
1,1,3,0,0,7740,0,128,180,1,2,1
1,0,0,0,0,3750,0,113,480,1,2,0
1,0,0,0,0,5417,0,168,360,1,2,1
1,1,1,0,0,1880,0,61,360,1,0,0
1,1,1,1,0,3027,1750,103,294,0,1,0
0,0,2,1,0,3979,0,114,197,1,1,0
0,0,0,0,0,3166,2985,132,360,1,0,1
1,0,2,0,0,3368,2461,123,331,0,0,0
1,1,1,0,0,6325,0,175,360,1,1,1
1,0,0,0,0,5815,3666,311,360,1,0,0
1,1,0,0,0,2383,2138,58,360,1,0,1
1,0,2,0,0,3617,0,107,360,1,1,1
0,0,0,0,0,5000,0,103,360,0,1,0
0,0,0,0,0,2500,0,67,360,1,2,1
1,0,0,0,0,1776,30360,127,360,1,2,0
1,1,2,1,0,1958,1456,60,300,1,2,1
1,1,2,0,0,3304,4085,164,261,0,0,0
0,0,0,0,0,4000,2275,144,360,1,1,1
1,1,0,0,0,4583,5625,255,360,1,1,1
1,0,0,0,0,4680,2087,120,360,1,1,0
0,1,2,0,0,2031,1632,113,480,1,1,1
0,0,0,0,0,6000,0,156,360,1,2,1
1,0,0,0,1,6050,4333,120,180,1,2,0
1,0,0,0,0,1926,1851,50,360,1,1,1
1,1,0,0,0,4926,0,124,360,0,0,0
1,1,1,0,0,33846,0,260,360,1,1,0
0,1,1,0,1,19484,0,600,360,1,1,1
1,0,0,1,0,2755,0,64,299,0,0,0
1,1,2,1,0,4784,0,103,360,0,0,0
1,1,2,1,0,2192,1742,45,360,1,1,1
1,1,2,0,1,6633,0,120,360,0,0,0
1,0,0,0,0,3579,0,94,360,0,1,0
0,1,0,0,0,3625,0,108,360,1,1,1
1,0,0,0,0,9526,5458,315,360,1,0,0
1,0,0,0,0,12876,0,405,360,1,1,1
1,1,2,0,0,3159,461,108,84,1,2,1
0,0,0,1,0,1963,0,53,360,1,1,1
1,1,0,0,0,3716,0,42,180,1,0,1
1,1,3,0,0,39999,0,600,180,0,1,1
1,1,1,0,0,8678,0,232,345,0,1,0
0,0,0,0,0,4166,0,44,360,1,1,1
1,1,1,0,0,6400,7250,180,360,0,2,0
1,1,3,0,0,4416,1250,110,360,1,2,1
0,0,0,1,1,17263,0,225,360,1,1,1
0,1,0,0,0,3166,0,36,360,1,1,1
1,0,2,0,0,3560,0,89,360,0,0,0
0,0,0,0,0,2137,8980,137,360,0,1,1
1,0,0,0,0,4166,0,98,360,0,1,0
1,0,0,1,0,2755,0,65,300,1,0,0
1,1,2,0,0,2583,2330,125,360,1,0,1
1,0,0,0,1,6822,0,141,360,1,0,1
1,1,2,0,1,5746,0,144,84,1,0,1
1,0,0,0,0,6283,4416,209,360,0,0,0
1,0,0,0,0,3254,0,50,360,1,2,1
1,1,0,0,0,4758,0,158,480,1,1,1
1,1,0,0,0,1809,1868,90,360,1,2,1
1,1,1,1,0,2239,2524,128,360,1,2,1
1,1,2,1,0,2889,0,45,180,0,2,0
0,0,0,0,0,5000,0,132,360,1,0,1
1,1,3,0,0,3466,3428,150,360,1,0,1
1,1,0,1,0,3406,4417,123,360,1,1,1
1,1,0,0,0,5192,1568,166,360,0,1,0
1,0,0,0,0,3032,0,84,360,0,1,0
1,1,0,0,0,3173,3021,137,360,1,2,1
1,0,0,0,0,5809,3719,307,360,1,0,0
1,1,0,0,0,9323,0,75,180,1,2,1
1,1,1,0,0,9538,0,187,360,1,2,1
0,0,0,0,0,3159,0,100,360,1,1,1
0,0,2,0,0,4745,0,90,360,0,1,0
0,0,0,0,0,2389,0,17,371,1,1,0
0,0,0,0,0,3237,0,30,360,1,2,1
1,0,0,0,0,5751,4574,247,346,1,1,0
0,0,0,0,0,3039,0,83,360,0,1,0
0,0,0,0,0,3416,0,133,351,1,0,0
0,0,0,0,0,2154,0,85,335,0,0,0
1,1,2,0,0,8333,0,246,360,1,1,1
1,0,1,0,0,3505,0,95,360,0,0,0
1,0,0,0,1,10888,0,102,360,0,2,0
1,0,1,0,0,4384,1793,117,360,1,2,1
1,1,0,0,0,2785,2016,110,360,1,0,1
1,1,2,0,0,7583,0,187,360,1,2,1
1,0,0,0,1,6950,0,175,180,1,1,1
1,1,0,0,0,3704,2000,120,360,1,0,1
0,1,0,0,0,4582,0,84,360,1,0,0
1,1,3,1,0,2947,1664,70,180,0,2,0
0,0,0,0,0,4124,0,115,360,1,1,1
0,1,0,1,0,2355,3701,130,211,0,1,0
1,1,2,0,0,3100,1400,113,360,1,2,1
1,0,0,1,0,3598,1287,100,360,1,0,0
0,0,0,0,0,3401,0,96,360,1,0,0
1,0,1,1,1,2769,1542,190,360,1,1,0
1,1,1,0,1,10000,0,155,360,1,0,0
1,0,0,0,0,8750,4167,308,360,1,0,0
1,1,0,0,0,4333,2451,110,360,1,2,0
1,1,3,1,0,3095,0,113,360,1,0,1
0,1,0,1,0,4100,0,124,360,1,0,1
1,0,1,0,0,2731,0,97,347,0,0,0
1,0,0,0,0,2068,0,99,336,0,1,0
1,1,0,0,0,2297,1522,104,360,1,2,1
1,0,0,0,0,6500,0,105,360,0,0,0
1,1,0,0,0,3065,1786,122,360,0,1,0
1,0,2,0,0,5247,0,94,360,0,1,0
1,1,1,0,0,6007,0,195,266,1,1,0
1,1,1,0,0,4972,0,86,360,0,0,0
1,1,1,0,0,3052,1030,100,360,1,2,1
0,0,0,0,0,5000,2541,151,480,1,0,0
1,0,0,0,1,11000,0,83,360,1,2,0
1,0,0,0,0,4846,2085,149,360,1,0,0
0,0,0,0,0,3410,0,88,360,1,2,1
1,1,2,0,0,3372,1543,142,360,0,0,0
1,1,3,1,1,5703,0,130,360,1,0,1
1,0,0,0,0,19812,0,484,360,1,0,0
0,1,0,0,0,4594,0,119,360,1,0,0
0,1,0,0,0,4583,0,84,360,1,0,0
1,1,0,0,0,5568,2142,175,360,1,0,0
1,1,1,0,0,6875,0,200,360,1,1,1
1,1,2,0,0,16666,0,275,360,1,2,1
1,0,0,0,0,4600,1613,126,360,1,0,0
1,0,0,0,0,5844,4498,207,293,1,1,0
0,0,3,0,0,3083,0,255,360,1,0,1
1,1,1,1,0,5333,1131,186,360,1,2,1
1,1,0,1,0,2600,1700,107,360,1,0,1
1,0,0,0,0,2073,4696,89,319,0,0,0
1,1,3,0,0,4333,1811,160,360,0,2,1
1,0,0,0,0,6000,0,141,360,1,2,1
1,0,1,1,0,2711,1521,151,270,0,0,0
0,0,0,0,0,4587,0,122,360,0,0,0
1,1,2,0,0,2957,0,81,360,1,1,1
1,1,2,0,0,3510,4416,243,360,1,0,1
1,0,0,0,0,1574,2670,117,360,1,0,0
1,1,0,0,0,2500,3796,120,360,1,2,1
1,0,0,0,0,3600,0,80,360,1,2,0
1,1,1,1,0,6608,0,137,180,1,2,1
1,1,0,1,0,1820,1769,95,360,1,0,1
1,1,0,0,0,3500,1667,114,360,1,1,1
0,0,0,0,0,2353,0,17,360,0,2,0
1,0,0,0,0,3158,3053,89,360,1,0,1
1,1,0,1,0,2400,3800,120,180,1,2,0
1,1,1,1,0,2653,1500,113,180,0,0,0
1,1,0,1,0,3000,1666,100,480,0,2,0
0,0,0,1,0,3400,0,95,360,1,0,0
1,0,0,1,0,2699,2785,96,360,1,1,1
1,0,1,0,0,8916,0,253,360,0,2,0
1,1,0,0,0,3497,1964,116,360,1,0,1
0,0,0,0,0,3846,0,111,360,1,1,1
1,1,1,0,0,4283,3000,172,84,1,0,0
1,1,0,1,0,1863,1041,98,360,1,1,1
1,0,0,0,0,2558,3567,157,193,0,0,0
1,0,1,0,0,4062,0,111,252,0,1,0
0,1,2,0,0,1378,1881,167,360,1,2,0
1,0,1,1,0,3596,0,100,240,1,2,1
1,0,0,0,0,8333,3750,187,360,1,0,1
0,0,0,0,0,4230,0,112,360,1,1,0
1,1,0,0,0,3232,1950,108,360,1,0,1
0,0,0,0,1,2500,0,93,360,1,2,1
0,0,0,0,0,8333,0,280,360,1,1,1
1,1,2,0,0,4708,1387,150,360,1,1,1
1,0,0,1,0,3200,2254,126,180,0,2,0
1,1,0,0,0,3246,1417,138,360,1,1,1
1,0,0,0,0,2500,0,96,480,1,1,0
0,0,0,0,0,2917,0,84,360,1,1,1
1,1,2,1,0,6125,1625,187,480,1,1,0
1,0,0,0,0,3333,0,70,360,1,2,1
1,0,0,0,0,8018,4240,278,360,0,0,0
1,0,0,0,0,2833,0,71,360,1,2,1
1,1,1,0,0,2882,1843,123,480,1,1,1
1,0,2,0,0,4923,0,166,360,0,1,1
1,0,1,0,0,4955,2083,169,360,1,0,0
0,0,0,0,0,645,3683,113,480,1,0,1
1,1,2,0,1,6000,0,205,240,1,1,0
1,0,0,0,0,2014,1929,74,360,1,2,1
1,0,0,1,0,6101,0,120,360,0,0,0
1,1,2,0,1,4583,2083,160,360,1,1,1
1,1,1,0,0,4583,1508,128,360,1,0,0
1,0,1,1,0,6335,712,171,360,1,0,0
1,1,2,0,0,3308,4088,164,260,0,0,0
1,1,2,1,0,4288,3263,133,180,1,2,1
1,1,1,1,0,2661,7101,279,180,1,1,1
1,1,0,1,1,4695,0,96,360,1,2,1
1,0,0,0,0,2452,0,80,393,1,1,0
1,0,1,1,0,2679,1302,94,360,1,1,1
1,1,0,1,0,4467,0,120,360,1,0,1
1,1,0,0,0,8334,0,160,360,1,1,0
0,1,0,0,0,2929,2333,139,360,1,1,1
1,1,0,0,0,1820,1719,100,360,1,2,1
0,0,0,0,0,5062,0,113,360,0,0,0
1,0,0,1,0,2717,0,60,180,1,2,1
0,1,1,0,0,4666,0,135,360,1,2,1
1,1,2,0,0,1299,1086,17,120,1,2,1
1,1,0,0,0,2583,2115,120,360,1,2,1
1,0,0,0,0,3129,0,72,406,1,2,0
1,1,1,1,0,1958,2436,131,360,1,0,1
1,1,2,0,1,2500,4600,176,360,1,0,1
1,0,0,1,0,3975,2531,55,360,1,0,1
1,0,0,0,0,3595,0,90,360,0,1,0
0,0,3,0,0,416,41667,350,180,1,2,0
0,0,0,1,0,2744,0,69,318,0,0,0
0,0,1,0,0,11634,2537,287,360,1,0,0
1,1,1,0,0,2014,2925,113,360,1,2,0
1,0,2,0,0,3567,0,95,360,0,0,0
1,0,0,0,0,6036,2747,202,360,1,0,0
1,1,1,0,0,5500,1260,170,360,1,0,1
1,1,0,0,0,3000,3416,56,180,1,1,1
1,1,0,0,0,1880,2930,100,360,0,2,0
1,1,3,0,1,5266,1774,187,360,1,1,1
1,1,2,0,1,2726,0,106,360,0,1,0
0,0,0,0,0,10267,593,200,360,0,1,0
1,0,0,1,0,2927,2405,111,360,1,1,1
1,1,1,0,0,3717,2925,151,360,1,1,0
1,1,0,0,0,2333,2417,136,360,1,2,1
1,1,0,0,0,5116,1451,165,360,0,2,0
1,1,1,1,0,2600,2500,90,360,1,1,1
1,1,3,1,0,2647,1587,173,360,1,0,0
0,0,0,0,1,3463,0,122,360,1,2,1
1,1,0,0,0,10833,0,234,360,1,1,1
1,1,0,0,0,2130,6666,70,180,1,1,0
1,1,2,1,0,3987,1411,157,360,1,0,1
1,1,2,0,0,5935,0,133,360,1,1,1
1,0,0,0,1,7167,0,128,360,1,2,1
1,1,0,0,0,3180,1299,107,360,0,0,0
1,1,0,0,0,3707,3166,182,360,1,0,1
0,0,0,0,0,3803,0,89,424,1,1,0
1,1,0,1,0,4300,2014,194,360,1,0,1
1,0,0,0,0,6000,0,140,360,1,0,1
1,0,0,1,0,7333,0,120,360,1,0,0
1,1,0,0,0,3166,2064,104,360,0,2,0
0,0,1,1,1,3867,0,62,360,1,1,0
0,0,0,0,0,7200,0,120,360,1,0,1
1,0,0,0,0,3182,2917,161,360,1,2,1
1,1,2,1,0,2281,0,113,360,1,0,0
0,0,2,0,0,1881,38046,349,201,1,1,0
1,1,2,1,0,3365,1917,112,360,0,0,0
1,1,0,0,0,5695,4167,175,360,1,1,1
1,1,0,0,1,3459,0,25,120,1,1,1
1,1,0,0,0,63337,0,490,180,1,2,1
0,1,1,0,0,4608,2845,140,180,1,1,1
1,0,0,0,0,3865,1640,120,360,1,0,1
